"GEOID","NAME.x","variable","estimate","moe","NAME.y","sum_var","sum_est","sum_moe","pct"
"11001009509","Census Tract 95.09, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 95.09, District of Columbia, District of Columbia","B01003_001",3485,475,0
"11001009601","Census Tract 96.01, District of Columbia, District of Columbia","B26001_001",51,31,"Census Tract 96.01, District of Columbia, District of Columbia","B01003_001",2211,281,2.31
"11001009602","Census Tract 96.02, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 96.02, District of Columbia, District of Columbia","B01003_001",3457,439,0
"11001009603","Census Tract 96.03, District of Columbia, District of Columbia","B26001_001",47,21,"Census Tract 96.03, District of Columbia, District of Columbia","B01003_001",3014,477,1.56
"11001009604","Census Tract 96.04, District of Columbia, District of Columbia","B26001_001",21,21,"Census Tract 96.04, District of Columbia, District of Columbia","B01003_001",2108,208,1
"11001009700","Census Tract 97, District of Columbia, District of Columbia","B26001_001",145,84,"Census Tract 97, District of Columbia, District of Columbia","B01003_001",3371,425,4.3
"11001009801","Census Tract 98.01, District of Columbia, District of Columbia","B26001_001",9,5,"Census Tract 98.01, District of Columbia, District of Columbia","B01003_001",2159,300,0.42
"11001009802","Census Tract 98.02, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 98.02, District of Columbia, District of Columbia","B01003_001",1646,221,0
"11001009803","Census Tract 98.03, District of Columbia, District of Columbia","B26001_001",30,37,"Census Tract 98.03, District of Columbia, District of Columbia","B01003_001",2733,375,1.1
"11001009804","Census Tract 98.04, District of Columbia, District of Columbia","B26001_001",30,15,"Census Tract 98.04, District of Columbia, District of Columbia","B01003_001",2778,283,1.08
"11001009807","Census Tract 98.07, District of Columbia, District of Columbia","B26001_001",92,100,"Census Tract 98.07, District of Columbia, District of Columbia","B01003_001",3043,360,3.02
"11001009810","Census Tract 98.10, District of Columbia, District of Columbia","B26001_001",24,18,"Census Tract 98.10, District of Columbia, District of Columbia","B01003_001",2676,305,0.9
"11001009811","Census Tract 98.11, District of Columbia, District of Columbia","B26001_001",0,17,"Census Tract 98.11, District of Columbia, District of Columbia","B01003_001",5018,499,0
"11001009901","Census Tract 99.01, District of Columbia, District of Columbia","B26001_001",15,11,"Census Tract 99.01, District of Columbia, District of Columbia","B01003_001",2563,247,0.59
"11001009902","Census Tract 99.02, District of Columbia, District of Columbia","B26001_001",37,34,"Census Tract 99.02, District of Columbia, District of Columbia","B01003_001",2780,293,1.33
"11001009903","Census Tract 99.03, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 99.03, District of Columbia, District of Columbia","B01003_001",1828,231,0
"11001009904","Census Tract 99.04, District of Columbia, District of Columbia","B26001_001",21,14,"Census Tract 99.04, District of Columbia, District of Columbia","B01003_001",2462,311,0.85
"11001009905","Census Tract 99.05, District of Columbia, District of Columbia","B26001_001",22,15,"Census Tract 99.05, District of Columbia, District of Columbia","B01003_001",2795,392,0.79
"11001009906","Census Tract 99.06, District of Columbia, District of Columbia","B26001_001",16,9,"Census Tract 99.06, District of Columbia, District of Columbia","B01003_001",1521,188,1.05
"11001009907","Census Tract 99.07, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 99.07, District of Columbia, District of Columbia","B01003_001",2890,321,0
"11001010100","Census Tract 101, District of Columbia, District of Columbia","B26001_001",60,30,"Census Tract 101, District of Columbia, District of Columbia","B01003_001",2624,242,2.29
"11001010200","Census Tract 102, District of Columbia, District of Columbia","B26001_001",26,43,"Census Tract 102, District of Columbia, District of Columbia","B01003_001",2537,265,1.02
"11001010300","Census Tract 103, District of Columbia, District of Columbia","B26001_001",358,208,"Census Tract 103, District of Columbia, District of Columbia","B01003_001",3462,423,10.34
"11001010400","Census Tract 104, District of Columbia, District of Columbia","B26001_001",447,206,"Census Tract 104, District of Columbia, District of Columbia","B01003_001",4474,580,9.99
"11001010500","Census Tract 105, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 105, District of Columbia, District of Columbia","B01003_001",3418,312,0
"11001010600","Census Tract 106, District of Columbia, District of Columbia","B26001_001",89,136,"Census Tract 106, District of Columbia, District of Columbia","B01003_001",5783,530,1.54
"11001010700","Census Tract 107, District of Columbia, District of Columbia","B26001_001",122,86,"Census Tract 107, District of Columbia, District of Columbia","B01003_001",1821,218,6.7
"11001010800","Census Tract 108, District of Columbia, District of Columbia","B26001_001",4896,759,"Census Tract 108, District of Columbia, District of Columbia","B01003_001",6289,830,77.85
"11001010900","Census Tract 109, District of Columbia, District of Columbia","B26001_001",928,720,"Census Tract 109, District of Columbia, District of Columbia","B01003_001",4275,876,21.71
"11001011000","Census Tract 110, District of Columbia, District of Columbia","B26001_001",89,43,"Census Tract 110, District of Columbia, District of Columbia","B01003_001",3552,418,2.51
"11001011100","Census Tract 111, District of Columbia, District of Columbia","B26001_001",699,268,"Census Tract 111, District of Columbia, District of Columbia","B01003_001",5490,475,12.73
