"GEOID","NAME.x","variable","estimate","moe","NAME.y","sum_var","sum_est","sum_moe","pct"
"11001008701","Census Tract 87.01, District of Columbia, District of Columbia","B09001_001",169,114,"Census Tract 87.01, District of Columbia, District of Columbia","B01003_001",2311,352,7.31
"11001008702","Census Tract 87.02, District of Columbia, District of Columbia","B09001_001",281,103,"Census Tract 87.02, District of Columbia, District of Columbia","B01003_001",1930,250,14.56
"11001008802","Census Tract 88.02, District of Columbia, District of Columbia","B09001_001",712,180,"Census Tract 88.02, District of Columbia, District of Columbia","B01003_001",4598,478,15.48
"11001008803","Census Tract 88.03, District of Columbia, District of Columbia","B09001_001",328,99,"Census Tract 88.03, District of Columbia, District of Columbia","B01003_001",2148,446,15.27
"11001008804","Census Tract 88.04, District of Columbia, District of Columbia","B09001_001",376,98,"Census Tract 88.04, District of Columbia, District of Columbia","B01003_001",2442,313,15.4
"11001008903","Census Tract 89.03, District of Columbia, District of Columbia","B09001_001",876,263,"Census Tract 89.03, District of Columbia, District of Columbia","B01003_001",3465,507,25.28
"11001008904","Census Tract 89.04, District of Columbia, District of Columbia","B09001_001",582,175,"Census Tract 89.04, District of Columbia, District of Columbia","B01003_001",3046,372,19.11
"11001009000","Census Tract 90, District of Columbia, District of Columbia","B09001_001",533,153,"Census Tract 90, District of Columbia, District of Columbia","B01003_001",3049,269,17.48
"11001009102","Census Tract 91.02, District of Columbia, District of Columbia","B09001_001",1549,346,"Census Tract 91.02, District of Columbia, District of Columbia","B01003_001",5288,497,29.29
"11001009201","Census Tract 92.01, District of Columbia, District of Columbia","B09001_001",349,94,"Census Tract 92.01, District of Columbia, District of Columbia","B01003_001",2261,273,15.44
"11001009203","Census Tract 92.03, District of Columbia, District of Columbia","B09001_001",438,186,"Census Tract 92.03, District of Columbia, District of Columbia","B01003_001",2612,415,16.77
"11001009204","Census Tract 92.04, District of Columbia, District of Columbia","B09001_001",615,187,"Census Tract 92.04, District of Columbia, District of Columbia","B01003_001",2785,288,22.08
"11001009301","Census Tract 93.01, District of Columbia, District of Columbia","B09001_001",604,202,"Census Tract 93.01, District of Columbia, District of Columbia","B01003_001",3204,360,18.85
"11001009302","Census Tract 93.02, District of Columbia, District of Columbia","B09001_001",142,75,"Census Tract 93.02, District of Columbia, District of Columbia","B01003_001",1053,143,13.49
"11001009400","Census Tract 94, District of Columbia, District of Columbia","B09001_001",946,232,"Census Tract 94, District of Columbia, District of Columbia","B01003_001",4850,459,19.51
"11001009501","Census Tract 95.01, District of Columbia, District of Columbia","B09001_001",1441,260,"Census Tract 95.01, District of Columbia, District of Columbia","B01003_001",7088,560,20.33
"11001009503","Census Tract 95.03, District of Columbia, District of Columbia","B09001_001",687,115,"Census Tract 95.03, District of Columbia, District of Columbia","B01003_001",3347,208,20.53
"11001009504","Census Tract 95.04, District of Columbia, District of Columbia","B09001_001",380,127,"Census Tract 95.04, District of Columbia, District of Columbia","B01003_001",3315,345,11.46
"11001009505","Census Tract 95.05, District of Columbia, District of Columbia","B09001_001",414,163,"Census Tract 95.05, District of Columbia, District of Columbia","B01003_001",2701,323,15.33
"11001009507","Census Tract 95.07, District of Columbia, District of Columbia","B09001_001",332,134,"Census Tract 95.07, District of Columbia, District of Columbia","B01003_001",1631,205,20.36
"11001009508","Census Tract 95.08, District of Columbia, District of Columbia","B09001_001",676,257,"Census Tract 95.08, District of Columbia, District of Columbia","B01003_001",3829,429,17.65
"11001009509","Census Tract 95.09, District of Columbia, District of Columbia","B09001_001",718,367,"Census Tract 95.09, District of Columbia, District of Columbia","B01003_001",3485,475,20.6
"11001009601","Census Tract 96.01, District of Columbia, District of Columbia","B09001_001",609,145,"Census Tract 96.01, District of Columbia, District of Columbia","B01003_001",2211,281,27.54
"11001009602","Census Tract 96.02, District of Columbia, District of Columbia","B09001_001",1218,336,"Census Tract 96.02, District of Columbia, District of Columbia","B01003_001",3457,439,35.23
"11001009603","Census Tract 96.03, District of Columbia, District of Columbia","B09001_001",520,260,"Census Tract 96.03, District of Columbia, District of Columbia","B01003_001",3014,477,17.25
"11001009604","Census Tract 96.04, District of Columbia, District of Columbia","B09001_001",323,73,"Census Tract 96.04, District of Columbia, District of Columbia","B01003_001",2108,208,15.32
"11001009700","Census Tract 97, District of Columbia, District of Columbia","B09001_001",981,267,"Census Tract 97, District of Columbia, District of Columbia","B01003_001",3371,425,29.1
"11001009801","Census Tract 98.01, District of Columbia, District of Columbia","B09001_001",818,201,"Census Tract 98.01, District of Columbia, District of Columbia","B01003_001",2159,300,37.89
"11001009802","Census Tract 98.02, District of Columbia, District of Columbia","B09001_001",563,136,"Census Tract 98.02, District of Columbia, District of Columbia","B01003_001",1646,221,34.2
"11001009803","Census Tract 98.03, District of Columbia, District of Columbia","B09001_001",705,274,"Census Tract 98.03, District of Columbia, District of Columbia","B01003_001",2733,375,25.8
"11001009804","Census Tract 98.04, District of Columbia, District of Columbia","B09001_001",781,160,"Census Tract 98.04, District of Columbia, District of Columbia","B01003_001",2778,283,28.11
"11001009807","Census Tract 98.07, District of Columbia, District of Columbia","B09001_001",733,234,"Census Tract 98.07, District of Columbia, District of Columbia","B01003_001",3043,360,24.09
"11001009810","Census Tract 98.10, District of Columbia, District of Columbia","B09001_001",880,200,"Census Tract 98.10, District of Columbia, District of Columbia","B01003_001",2676,305,32.88
"11001009811","Census Tract 98.11, District of Columbia, District of Columbia","B09001_001",1516,312,"Census Tract 98.11, District of Columbia, District of Columbia","B01003_001",5018,499,30.21
"11001009901","Census Tract 99.01, District of Columbia, District of Columbia","B09001_001",396,119,"Census Tract 99.01, District of Columbia, District of Columbia","B01003_001",2563,247,15.45
"11001009902","Census Tract 99.02, District of Columbia, District of Columbia","B09001_001",463,135,"Census Tract 99.02, District of Columbia, District of Columbia","B01003_001",2780,293,16.65
"11001009903","Census Tract 99.03, District of Columbia, District of Columbia","B09001_001",452,109,"Census Tract 99.03, District of Columbia, District of Columbia","B01003_001",1828,231,24.73
"11001009904","Census Tract 99.04, District of Columbia, District of Columbia","B09001_001",791,194,"Census Tract 99.04, District of Columbia, District of Columbia","B01003_001",2462,311,32.13
"11001009905","Census Tract 99.05, District of Columbia, District of Columbia","B09001_001",684,217,"Census Tract 99.05, District of Columbia, District of Columbia","B01003_001",2795,392,24.47
"11001009906","Census Tract 99.06, District of Columbia, District of Columbia","B09001_001",356,98,"Census Tract 99.06, District of Columbia, District of Columbia","B01003_001",1521,188,23.41
"11001009907","Census Tract 99.07, District of Columbia, District of Columbia","B09001_001",810,185,"Census Tract 99.07, District of Columbia, District of Columbia","B01003_001",2890,321,28.03
"11001010100","Census Tract 101, District of Columbia, District of Columbia","B09001_001",105,96,"Census Tract 101, District of Columbia, District of Columbia","B01003_001",2624,242,4
"11001010200","Census Tract 102, District of Columbia, District of Columbia","B09001_001",205,79,"Census Tract 102, District of Columbia, District of Columbia","B01003_001",2537,265,8.08
"11001010300","Census Tract 103, District of Columbia, District of Columbia","B09001_001",638,154,"Census Tract 103, District of Columbia, District of Columbia","B01003_001",3462,423,18.43
"11001010400","Census Tract 104, District of Columbia, District of Columbia","B09001_001",1181,381,"Census Tract 104, District of Columbia, District of Columbia","B01003_001",4474,580,26.4
"11001010500","Census Tract 105, District of Columbia, District of Columbia","B09001_001",139,84,"Census Tract 105, District of Columbia, District of Columbia","B01003_001",3418,312,4.07
"11001010600","Census Tract 106, District of Columbia, District of Columbia","B09001_001",474,169,"Census Tract 106, District of Columbia, District of Columbia","B01003_001",5783,530,8.2
"11001010700","Census Tract 107, District of Columbia, District of Columbia","B09001_001",9,13,"Census Tract 107, District of Columbia, District of Columbia","B01003_001",1821,218,0.49
"11001010800","Census Tract 108, District of Columbia, District of Columbia","B09001_001",73,57,"Census Tract 108, District of Columbia, District of Columbia","B01003_001",6289,830,1.16
"11001010900","Census Tract 109, District of Columbia, District of Columbia","B09001_001",1342,342,"Census Tract 109, District of Columbia, District of Columbia","B01003_001",4275,876,31.39
"11001011000","Census Tract 110, District of Columbia, District of Columbia","B09001_001",211,135,"Census Tract 110, District of Columbia, District of Columbia","B01003_001",3552,418,5.94
"11001011100","Census Tract 111, District of Columbia, District of Columbia","B09001_001",1111,253,"Census Tract 111, District of Columbia, District of Columbia","B01003_001",5490,475,20.24
